,winery,variety,country,province,price,points
37,Turiya,Petit Verdot,US,California,85.0,88
38,Elkhorn Ridge,Pinot Noir,US,Oregon,29.0,85
39,Ruca Malen,Sparkling Blend,Argentina,Other,32.0,87
40,Joullian,Cabernet Sauvignon,US,California,34.0,84
41,Picos Pardos,Garnacha,Spain,Northern Spain,17.0,88
42,Brander,Syrah,US,California,35.0,86
43,Tinhof,Weissburgunder,Austria,Burgenland,19.0,87
44,Leonard Kreusch,White Blend,Germany,Rheinhessen,14.0,85
45,DanCin,Pinot Noir,US,Oregon,38.0,92
46,Château Peymouton,Bordeaux-style Red Blend,France,Bordeaux,26.0,91
47,Clos Mogador,Red Blend,Spain,Catalonia,95.0,93
48,Joullian,Zinfandel,US,California,29.0,88
49,Ideal Drinks,Touriga Nacional,Portugal,Dão,28.0,92
50,Donati,Grenache,US,California,25.0,88
51,Château Thieuley,Rosé,France,Bordeaux,15.0,86
52,Callaway,Roussanne,US,California,30.0,89
53,Marani,White Blend,Georgia,Kakheti,11.0,87
54,Côte Bonneville,Riesling,US,Washington,22.0,90
55,William Church,Malbec,US,Washington,34.0,93
56,Sonoma Cuvée,Chardonnay,US,California,18.0,83
57,Valentina Cubi,Red Blend,Italy,Veneto,69.0,90
58,Altvs,Cabernet Sauvignon,US,California,75.0,91
59,Corvo,White Blend,Italy,Sicily & Sardinia,10.0,85
60,Domaine Claude Branger,Melon,France,Loire Valley,17.0,92
61,Galvan,Red Blend,US,California,36.0,92
62,Santa Rita,Petite Sirah,Chile,Maipo Valley,80.0,90
63,Château Haut Pougnan,Bordeaux-style Red Blend,France,Bordeaux,12.0,86
64,Nine Hats,Riesling,US,Washington,14.0,87
65,Le Chiuse,Sangiovese,Italy,Tuscany,30.0,92
66,Firriato,Red Blend,Italy,Sicily & Sardinia,24.0,90
67,Belle Glos,Pinot Noir,US,California,30.0,90
68,Von Strasser,Bordeaux-style Red Blend,US,California,80.0,88
69,Cantina Offida,Passerina,Italy,Central Italy,13.0,86
70,Stags' Leap Winery,Viognier,US,California,32.0,91
71,Dr. Bürklin-Wolf,Riesling,Germany,Pfalz,20.0,90
72,Grey Stack,Sauvignon Blanc,US,California,30.0,93
73,Gary Farrell,Pinot Noir,US,California,50.0,87
74,Bray,Red Blend,US,California,22.0,86
75,Domaine A. Machard,Pinot Noir,France,Burgundy,28.0,87
76,Bougrier,Cabernet Franc,France,Loire Valley,19.0,86
77,Puro Uno,Malbec,Argentina,Mendoza Province,45.0,83
78,Buena Vista,Pinot Noir,US,California,48.0,93
79,Les Vignerons des,Melon,France,Loire Valley,20.0,90
80,Raymond,Chardonnay,US,California,45.0,89
81,Roche de Bellene,Chardonnay,France,Burgundy,20.0,88
82,Luis Alegre,Tempranillo Blend,Spain,Northern Spain,40.0,92
83,Villa Wolf,Pinot Blanc,Germany,Pfalz,12.0,88
84,Frazier,Cabernet Sauvignon,US,California,110.0,94
85,Broadbent,Port,Portugal,Port,27.0,87
86,Casa Santos Lima,Portuguese Red,Portugal,Lisboa,8.0,85
87,Pumphouse,White Blend,US,New York,11.0,84
88,Zuccardi,Cabernet Sauvignon,Argentina,Mendoza Province,20.0,89
89,Young Inglewood,Bordeaux-style Red Blend,US,California,75.0,94
90,Telmo Rodríguez,Tempranillo Blend,Spain,Northern Spain,48.0,91
91,Atalaya,Red Blend,Spain,Central Spain,9.0,87
92,Bellenda,Glera,Italy,Veneto,24.0,89
93,Emilio Moro,Tinto Fino,Spain,Northern Spain,212.0,92
94,BiancaVigna,Glera,Italy,Veneto,23.0,93
95,Amalie Robert,Pinot Noir,US,Oregon,50.0,88
96,Meeker,Bordeaux-style Red Blend,US,California,62.0,85
97,Dominio de Atauta,Tinto Fino,Spain,Northern Spain,30.0,92
98,Vallobera,Tempranillo,Spain,Northern Spain,22.0,87
99,Zina Hyde Cunningham,Red Blend,US,California,34.0,89
100,Quinta de Porrais,Portuguese White,Portugal,Douro,13.0,87
101,Envy,Red Blend,US,California,42.0,88
102,Chateau Ste. Michelle,Sauvignon Blanc,US,Washington,15.0,90
103,Terre Rouge,Syrah,US,California,40.0,91
104,Cathedral Ridge,Red Blend,US,Oregon,44.0,85
105,Tinhof,Neuburger,Austria,Burgenland,21.0,90
106,Purcari,White Blend,Moldova,Moldova,42.0,88
107,Artisan Wines DI,St. Laurent,Austria,Burgenland,15.0,90
108,Carpineto,Red Blend,Italy,Tuscany,14.0,86
109,Spann Vineyards,Bordeaux-style Red Blend,US,California,25.0,89
110,Duck Pond,Chardonnay,US,Washington,12.0,87
111,Meinklang,Pinot Gris,Austria,Burgenland,19.0,91
112,Boedecker Cellars,Chardonnay,US,Oregon,28.0,89
113,Lucien Albrecht,Riesling,France,Alsace,19.0,90
114,Thacher,Red Blend,US,California,33.0,83
115,Kendall-Jackson,Chardonnay,US,California,28.0,92
116,Volteo,Tempranillo,Spain,Central Spain,10.0,87
117,Ghostwriter,Chardonnay,US,California,28.0,87
118,Castle Rock,Cabernet Sauvignon,US,California,13.0,84
119,Carlos Serres,Viura,Spain,Northern Spain,10.0,84
120,Domaine Gresser,Riesling,France,Alsace,31.0,89
121,Argiolas,Red Blend,Italy,Sicily & Sardinia,18.0,90
122,Viento,Riesling,US,Oregon,14.0,91
123,Avennia,Sauvignon Blanc,US,Washington,25.0,88
124,Legendre,Rhône-style Red Blend,US,California,19.0,85
125,Yatir,Cabernet Sauvignon,Israel,Judean Hills,50.0,92
126,Kovács Nimród,Chardonnay,Hungary,Eger,25.0,89
127,Raats Family,Cabernet Franc,South Africa,Stellenbosch,20.0,88
128,Cobb,Pinot Noir,US,California,70.0,92
129,Barton & Guestier,Rhône-style Red Blend,France,Rhône Valley,37.0,88
130,Morandé,Cabernet Sauvignon,Chile,Maipo Valley,8.0,85
131,Consejo de la,Tempranillo,Spain,Northern Spain,24.0,88
132,Cinder,Viognier,US,Idaho,18.0,87
133,Frostwatch,Chardonnay,US,California,30.0,90
134,St. Lucas,Chardonnay,Argentina,Mendoza Province,11.0,85
135,Dante,Pinot Noir,US,California,10.0,81
136,Gallo Estate,Cabernet Sauvignon,US,California,95.0,90
137,Vasse Felix,Bordeaux-style Red Blend,Australia,Western Australia,110.0,94
138,Finca El Encinal,Tempranillo,Spain,Northern Spain,14.0,85
139,Handley,Chardonnay,US,California,16.0,88
140,Marques de Tomares,Tempranillo Blend,Spain,Northern Spain,40.0,84
141,El Furioso,Tempranillo,Spain,Northern Spain,12.0,83
142,Des Voigne Cellars,Syrah,US,Washington,30.0,88
143,Furthermore,Pinot Noir,US,California,40.0,91
144,Bodegas Tobía,Tempranillo,Spain,Northern Spain,11.0,84
145,Gini,Chardonnay,Italy,Northeastern Italy,24.0,89
146,Armosa,Moscato,Italy,Sicily & Sardinia,25.0,84
147,Marcel Couturier,Chardonnay,France,Burgundy,30.0,85
148,Finca El Origen,Cabernet Sauvignon,Argentina,Mendoza Province,23.0,92
149,Reichsgraf von Kesselstatt,Riesling,Germany,Mosel-Saar-Ruwer,37.0,91
150,Vignobles Brumont,Pinot Noir,France,France Other,40.0,88
151,Scopone,Sangiovese,Italy,Tuscany,70.0,86
152,Mosby,Cortese,US,California,18.0,85
153,Odfjell,Red Blend,Chile,Central Valley,15.0,87
154,La Fenêtre,Pinot Noir,US,California,45.0,92
155,Valdelainos,Verdejo,Spain,Northern Spain,14.0,82
156,Marqués de Vargas,Tempranillo Blend,Spain,Northern Spain,70.0,92
157,Goldeneye,Pinot Noir,US,California,80.0,92
158,Domaine du Chalet,Chardonnay,France,Burgundy,21.0,86
159,Bodegas Virgen del,Red Blend,Spain,Northern Spain,18.0,86
160,Accordini Igino,Red Blend,Italy,Veneto,30.0,89
161,Yangarra Park,Shiraz,Australia,Australia Other,10.0,87
162,Jacob Williams,Syrah,US,Oregon,28.0,88
163,Pride Mountain,Claret,US,California,135.0,91
164,Domaine de la,Rosé,France,Provence,17.0,87
165,Nipa,Cabernet Sauvignon,US,California,39.0,91
166,MacPhail,Pinot Noir,US,California,60.0,93
167,Gen5,Merlot,US,California,11.0,86
168,Rock Wall,Tannat,US,California,22.0,82
169,Two Hands,Shiraz,Australia,South Australia,35.0,90
170,Santa Carolina,Sauvignon Blanc,Chile,Leyda Valley,11.0,84
171,Santa Rita,Red Blend,Chile,Maipo Valley,40.0,89
172,Purcari,Pinot Grigio,Moldova,Moldova,15.0,89
173,Montaribaldi,Nebbiolo,Italy,Piedmont,55.0,85
174,Kontokosta,Red Blend,US,New York,50.0,88
175,Silver Thread,Riesling,US,New York,26.0,89
176,Judith Beck,Zweigelt,Austria,Burgenland,20.0,88
177,Maryhill,Zinfandel,US,Washington,17.0,85
178,Monte Tondo,Red Blend,Italy,Veneto,80.0,87
179,Ca' del Baio,Nebbiolo,Italy,Piedmont,65.0,87
180,Brewer-Clifton,Chardonnay,US,California,75.0,94
181,Tikalo,Tempranillo,Spain,Central Spain,27.0,91
182,Saviah,Syrah,US,Washington,60.0,94
183,Sawtooth,Pinot Gris,US,Idaho,13.0,87
184,Villa Wolf,Riesling,Germany,Pfalz,12.0,91
185,Umani Ronchi,Verdicchio,Italy,Central Italy,35.0,88
186,Indigené,Pinot Noir,US,California,31.0,92
187,Familia Deicas,Tannat,Uruguay,Juanico,130.0,90
188,Viña Albali,Tempranillo Blend,Spain,Central Spain,15.0,83
189,Twelve Staves,Grenache,Australia,South Australia,18.0,86
190,Château Labrousse,Bordeaux-style Red Blend,France,Bordeaux,7.0,86
191,Domaine Drouhin Oregon,Pinot Noir,US,Oregon,85.0,96
192,Enate,Chardonnay,Spain,Northern Spain,15.0,84
193,Messias,Touriga Franca,Portugal,Douro,10.0,88
194,Toffoli,Glera,Italy,Veneto,18.0,88
195,San Simeon,Chardonnay,US,California,22.0,84
196,Fog Crest,Chardonnay,US,California,39.0,92
197,Herdade do Esporão,Portuguese White,Portugal,Alentejo,19.0,90
198,Trapiche,Malbec,Argentina,Mendoza Province,55.0,90
199,Bel Lago,Auxerrois,US,Michigan,19.0,88
200,Quinta da Alorna,Portuguese White,Portugal,Tejo,25.0,90
201,Badia a Coltibuono,Sangiovese,Italy,Tuscany,15.0,89
202,Corteforte,Red Blend,Italy,Veneto,48.0,87
203,Argiolas,Red Blend,Italy,Sicily & Sardinia,80.0,90
204,Sidewood,Chardonnay,Australia,South Australia,18.0,88
205,Celani Family Vineyards,Cabernet Sauvignon,US,California,195.0,96
206,Longview,Shiraz-Cabernet Sauvignon,Australia,South Australia,15.0,87
207,Kono,Sauvignon Blanc,New Zealand,Marlborough,9.0,85
208,Pillsbury,Petite Sirah,US,Arizona,54.0,87
209,Cramele Recas,Pinot Noir,Romania,Viile Timisului,7.0,86
210,Leon Beyer,Riesling,France,Alsace,49.0,94
211,Clos Mogador,Red Blend,Spain,Catalonia,90.0,95
212,Real Companhia Velha,Portuguese Red,Portugal,Douro,22.0,92
213,MAN Vintners,Sauvignon Blanc,South Africa,Western Cape,11.0,84
214,Deaver,Zinfandel,US,California,30.0,87
215,James Charles,Petite Verdot,US,Virginia,31.0,88
216,Gancia,Moscato,Italy,Piedmont,11.0,86
217,Lamoreaux Landing,Chardonnay,US,New York,20.0,87
218,Kunde,Chardonnay,US,California,45.0,88
219,Restivo,Malbec,Argentina,Mendoza Province,10.0,83
220,Ciacci Piccolomini d'Aragona,Sangiovese,Italy,Tuscany,70.0,95
221,Domaine Maby,Rosé,France,Rhône Valley,18.0,92
222,L.A. Cetto,Chardonnay,Mexico,Valle de Guadalupe,14.0,84
223,Podere Guado al,Red Blend,Italy,Tuscany,41.0,92
224,Pasqua,Glera,Italy,Veneto,13.0,84
225,Flower Garden,Pinot Grigio,Germany,Rheinhessen,15.0,88
226,Collin-Bourisset,Gamay,France,Beaujolais,11.0,88
227,Joullian,Red Blend,US,California,15.0,88
228,Doudet Naudin,Pinot Noir,France,France Other,15.0,86
229,Prunotto,Barbera,Italy,Piedmont,50.0,91
230,Klinker Brick,Dolcetto,US,California,25.0,92
231,Keating,Zinfandel,US,California,35.0,88
232,Chandler Reach,Red Blend,US,Washington,12.0,86
233,Conway,Chardonnay,US,California,40.0,87
234,Pessagno,Chardonnay,US,California,45.0,93
235,Mastroberardino,Greco,Italy,Southern Italy,25.0,92
236,Domaine du Tariquet,Chardonnay,France,Southwest France,12.0,86
237,Mount Langi Ghiran,Shiraz,Australia,Victoria,25.0,92
238,Teso La Monja,Tinta de Toro,Spain,Northern Spain,63.0,93
239,Concannon,Petite Sirah,US,California,36.0,85
240,Marqués de Cáceres,Tempranillo,Spain,Northern Spain,35.0,90
241,Vylyan,Pinot Noir,Hungary,Villány,25.0,90
242,Château de la,Melon,France,Loire Valley,27.0,92
243,Merryvale,Cabernet Sauvignon,US,California,65.0,93
244,Cedar View Winery,Petite Sirah,US,California,28.0,85
245,Aveleda,Portuguese Red,Portugal,Beiras,12.0,91
246,Domaine Ostertag,Pinot Gris,France,Alsace,37.0,88
247,Santa Sofia,"Corvina, Rondinella, Molinara",Italy,Veneto,65.0,91
248,Villa Russiz,Pinot Grigio,Italy,Northeastern Italy,34.0,87
249,Kenefick Ranch,Bordeaux-style Red Blend,US,California,55.0,94
250,Radford Dale,Shiraz,South Africa,Stellenbosch,25.0,91
251,Lasseter,Semillon-Sauvignon Blanc,US,California,46.0,91
252,Bollig-Lehnert,Riesling,Germany,Mosel-Saar-Ruwer,27.0,91
253,Bodegas Vidal Soblechero,Verdejo,Spain,Northern Spain,20.0,89
254,Oberon,Merlot,US,California,22.0,85
255,Rui Roboredo Madeira,Portuguese Red,Portugal,Douro,17.0,86
256,San Simeon,Chardonnay,US,California,18.0,88
257,Villa Huesgen,Riesling,Germany,Mosel,50.0,89
258,Viña Requingua,Cabernet Sauvignon-Cabernet Franc,Chile,Curicó Valley,30.0,87
259,Familia Cassone,Malbec,Argentina,Mendoza Province,43.0,91
260,Nefarious,Viognier,US,Washington,19.0,92
261,Domaine Chignard,Gamay,France,Beaujolais,26.0,91
262,Real Companhia Velha,Portuguese Red,Portugal,Douro,18.0,89
263,Acordeón,Torrontés,Argentina,Other,9.0,85
264,Monticello Vineyards,Cabernet Sauvignon,US,California,72.0,92
265,Château Sainte Roseline,Rosé,France,Provence,25.0,91
266,V. Sattui,Cabernet Sauvignon,US,California,95.0,93
267,Brander,Sauvignon Blanc,US,California,25.0,90
268,Bell,Syrah,US,California,26.0,86
269,Adega Cooperativa Ponte,Rosé,Portugal,Vinho Verde,9.0,83
270,Claar,Merlot,US,Washington,25.0,87
271,Stark,Viognier,US,California,28.0,88
272,Château Faizeau,Bordeaux-style Red Blend,France,Bordeaux,35.0,88
273,DFJ Vinhos,Portuguese Red,Portugal,Douro,10.0,88
274,Château de Bel,Bordeaux-style White Blend,France,Bordeaux,12.0,84
275,Tenute Silvio Nardi,Sangiovese,Italy,Tuscany,26.0,86
276,Domaine Chignard,Gamay,France,Beaujolais,22.0,91
277,Colinas do Douro,Portuguese White,Portugal,Douro,15.0,88
278,Gran Passione,Falanghina,Italy,Southern Italy,13.0,87
279,C. von Nell-Breuning,Riesling,Germany,Mosel,23.0,91
280,Terre Rouge,Syrah,US,California,40.0,90
281,Kenwood,Cabernet Sauvignon,US,California,18.0,88
282,Deovlet,Pinot Noir,US,California,45.0,90
283,Finca El Origen,Cabernet Sauvignon,Argentina,Mendoza Province,8.0,83
284,Palmer,Rosé,US,New York,20.0,89
285,Textbook,Cabernet Sauvignon,US,California,44.0,94
286,Yalumba,Cabernet Sauvignon,Australia,South Australia,26.0,92
287,Cayuse,Rosé,US,Washington,45.0,90
288,Tenuta Sant'Antonio,"Corvina, Rondinella, Molinara",Italy,Veneto,45.0,92
289,Netzl,Weissburgunder,Austria,Carnuntum,20.0,90
290,Aquinas,Bordeaux-style Red Blend,US,California,25.0,88
291,Kuentz-Bas,Gewürztraminer,France,Alsace,78.0,89
292,Viña Casablanca,Pinot Noir,Chile,Casablanca Valley,12.0,86
293,Caven,Nebbiolo,Italy,Lombardy,32.0,90
294,Saintsbury,Chardonnay,US,California,25.0,90
295,Illahe,Pinot Gris,US,Oregon,15.0,87
296,Louis Latour,Chardonnay,France,Burgundy,90.0,93
297,Calera,Chardonnay,US,California,18.0,86
298,Peterson,Muscat Blanc,US,California,30.0,92
299,Artesana,Rosé,Uruguay,Canelones,14.0,85
300,Adelsheim,Pinot Noir,US,Oregon,68.0,93
301,Eleven,Rosé,US,Washington,20.0,85
302,Bocale,Red Blend,Italy,Central Italy,19.0,86
303,2 Up,Shiraz,Australia,South Australia,15.0,88
304,Château Barreyres,Bordeaux-style Red Blend,France,Bordeaux,25.0,87
305,Marqués de Vargas,Tempranillo Blend,Spain,Northern Spain,26.0,89
306,Patz & Hall,Chardonnay,US,California,60.0,94
307,Mommessin,Gamay,France,Beaujolais,15.0,89
308,Albert Morot,Pinot Noir,France,Burgundy,65.0,91
309,Cavit,Cabernet Sauvignon,Italy,Northeastern Italy,10.0,85
310,Georges Duboeuf,Gamay,France,Beaujolais,24.0,90
311,Brushstroke,Cabernet Franc,US,California,17.0,85
312,Deerfield Ranch,Cabernet Sauvignon,US,California,30.0,88
313,Sbragia,Cabernet Sauvignon,US,California,42.0,91
314,Skouras,Viognier,Greece,Peloponnese,40.0,88
315,Martín Berdugo,Tempranillo,Spain,Northern Spain,20.0,90
316,Zina Hyde Cunningham,Red Blend,US,California,34.0,89
317,Château Lacombe Cadiot,Bordeaux-style Red Blend,France,Bordeaux,29.0,85
318,Alta Alella,Mataro,Spain,Spain Other,40.0,90
319,W. Gisselbrecht,Pinot Gris,France,Alsace,17.0,88
320,R&A; Pfaffl,Grüner Veltliner,Austria,Weinviertel,90.0,93
321,Mikami Vineyards,Zinfandel,US,California,39.0,88
322,Concannon,Merlot,US,California,10.0,82
323,Tenuta Luisa,Pinot Grigio,Italy,Northeastern Italy,20.0,88
324,Manzanita Creek,Syrah,US,California,35.0,93
325,Bocopa,Sparkling Blend,Spain,Levante,15.0,84
326,Corte Giacobbe,Garganega,Italy,Veneto,16.0,88
327,Lang & Reed,Cabernet Franc,US,California,22.0,87
328,Staatliche Weinbaudomäne Trier,Riesling,Germany,Mosel,23.0,90
329,Bosio,Moscato,Italy,Piedmont,18.0,87
330,Domaine le Roc,Negrette,France,Southwest France,18.0,87
331,Gary Farrell,Sauvignon Blanc,US,California,20.0,87
332,Archer Roose,Carmenère,Chile,Colchagua Valley,30.0,87
333,Bernardus,Pinot Noir,US,California,65.0,93
334,Cellers Unió,Red Blend,Spain,Catalonia,33.0,91
335,Santa Ema,Merlot,Chile,Maipo Valley,15.0,86
336,Fess Parker,Riesling,US,California,15.0,87
337,Wild Ridge,Pinot Noir,US,California,50.0,91
338,Martellotto,Cabernet Sauvignon,US,California,28.0,89
339,Brandborg,Pinot Noir,US,Oregon,22.0,88
340,Caligiore,Torrontés,Argentina,Mendoza Province,10.0,84
341,Structure,Syrah,US,Washington,25.0,92
342,Caliterra,Merlot,Chile,Colchagua Valley,10.0,85
343,Clos Teddi,White Blend,France,France Other,17.0,87
344,I Balzini,Red Blend,Italy,Tuscany,35.0,90
345,Charles Krug,Chardonnay,US,California,20.0,87
346,Château Coussin,Rosé,France,Provence,20.0,86
347,O'Reilly's,Pinot Gris,US,Oregon,13.0,88
348,Angosto,White Blend,Spain,Levante,30.0,80
349,Portia,Tempranillo Blend,Spain,Northern Spain,35.0,87
350,Snow Farm,Vidal Blanc,US,Vermont,45.0,85
351,Ciavolich Giuseppe,Pecorino,Italy,Central Italy,26.0,88
352,Morgenhof,Sauvignon Blanc,South Africa,Simonsberg-Stellenbosch,19.0,89
353,Pio Cesare,Nebbiolo,Italy,Piedmont,64.0,93
354,Cowhorn,Marsanne-Roussanne,US,Oregon,28.0,90
355,Mossback,Cabernet Sauvignon,US,California,25.0,84
356,Joh. Jos. Prüm,Riesling,Germany,Mosel,42.0,93
357,Bodega Norton,Cabernet Sauvignon,Argentina,Mendoza Province,14.0,87
358,Rooster Hill,Riesling,US,New York,16.0,88
359,Quinta do Pego,Port,Portugal,Port,75.0,94
360,Château Bel Air,Bordeaux-style Red Blend,France,Bordeaux,16.0,84
362,Castle Rock,Chardonnay,US,California,10.0,85
363,Château l'Enclos,Bordeaux-style Red Blend,France,Bordeaux,60.0,91
364,E. Guigal,Rhône-style White Blend,France,Rhône Valley,75.0,92
365,Amici,Cabernet Sauvignon,US,California,35.0,91
366,Undurraga,Cabernet Sauvignon,Chile,Rapel Valley,11.0,87
367,Poet's Leap,Riesling,US,Washington,85.0,95
368,Pillitteri,Vidal,Canada,Ontario,30.0,92
369,DFJ Vinhos,Castelão,Portugal,Terras do Sado,8.0,84
370,Laetitia,Champagne Blend,US,California,30.0,86
371,Viña Casablanca,Sauvignon Blanc,Chile,Casablanca Valley,12.0,86
372,Ste. Chapelle,Riesling,US,Idaho,8.0,88
373,Airfield Estates,Chardonnay,US,Washington,15.0,86
374,Beresan,Red Blend,US,Washington,19.0,91
375,Gainey,Sauvignon Blanc,US,California,15.0,90
376,Mamete Prevostini,Nebbiolo,Italy,Lombardy,75.0,86
377,Lombard et Cie,Champagne Blend,France,Champagne,140.0,93
378,Adega Mãe,Portuguese Red,Portugal,Lisboa,12.0,88
379,Sarah's Vineyard,Pinot Noir,US,California,40.0,92
380,Quinta da Lapa,Cabernet Sauvignon,Portugal,Tejo,12.0,84
381,Finca la Rinconada,Verdejo,Spain,Northern Spain,20.0,88
382,Cramele Recas,Feteascǎ Regalǎ,Romania,Viile Timisului,12.0,88
383,Beni di Batasiolo,Nebbiolo,Italy,Piedmont,30.0,90
384,Vigilance,Cabernet Sauvignon,US,California,25.0,87
385,Domaine Dujac,Pinot Noir,France,Burgundy,224.0,93
386,Peirano,Merlot,US,California,12.0,84
387,Dr. Loosen,Riesling,Germany,Mosel,34.0,90
388,Lynmar,Pinot Noir,US,California,70.0,93
389,àMaurice,Cabernet Sauvignon,US,Washington,65.0,89
390,Domaine Damien Lorieux,Cabernet Franc,France,Loire Valley,16.0,89
391,Ravoire et Fils,Rosé,France,Provence,14.0,87
392,Tapiz,Cabernet Sauvignon,Argentina,Mendoza Province,15.0,87
393,Verum,Chardonnay,Argentina,Other,17.0,87
394,Sandler,Chardonnay,US,California,40.0,88
395,Clos du Canton,Bordeaux-style Red Blend,France,Bordeaux,40.0,90
396,A to Z,Pinot Noir,US,Oregon,19.0,84
397,Occidental Road Cellars,Zinfandel,US,California,34.0,89
398,Lamoreaux Landing,Grüner Veltliner,US,New York,20.0,86
399,Naia,White Blend,Spain,Northern Spain,14.0,87
400,Bodega Norton,Cabernet Sauvignon,Argentina,Mendoza Province,14.0,86
401,Borra,Red Blend,US,California,35.0,89
402,3 Horse Ranch,Cabernet Sauvignon,US,Washington,23.0,87
403,Wakefield,Riesling,Australia,South Australia,17.0,88
404,Montes,Red Blend,Chile,Colchagua Valley,60.0,90
405,Saini,Zinfandel,US,California,38.0,84
406,Caves Velhas,Portuguese Red,Portugal,Terras do Dão,7.0,89
407,Wood Family Vineyards,Zinfandel,US,California,32.0,87
408,Descendientes de J.,Mencía,Spain,Northern Spain,50.0,92
409,Château des Demoiselles,Rosé,France,Provence,28.0,83
410,Cedarville,Viognier,US,California,22.0,92
411,Castillo De Feliciana,Tempranillo,US,Washington,40.0,86
412,Paraduxx,Red Blend,US,California,80.0,90
413,Filón,Garnacha,Spain,Northern Spain,10.0,86
414,CK Mondavi,Zinfandel,US,California,6.0,83
415,Rotari,Chardonnay,Italy,Northeastern Italy,14.0,89
416,Martin & Weyrich,Zinfandel,US,California,30.0,85
417,Villa Poggio Salvi,Moscadello,Italy,Tuscany,30.0,88
418,Domäne Wachau,Riesling,Austria,Wachau,19.0,93
419,Borgo Scopeto,Red Blend,Italy,Tuscany,20.0,89
420,Mountford,Chardonnay,New Zealand,Waipara,29.0,92
421,Campolargo,Portuguese Red,Portugal,Bairrada,13.0,87
422,Rexford,Merlot,US,California,35.0,90
423,Domäne Wachau,Grüner Veltliner,Austria,Wachau,13.0,85
424,Chambers Rosewood Vineyards,Muscadelle,Australia,Victoria,140.0,94
425,Allesverloren,Cabernet Sauvignon,South Africa,Swartland,22.0,86
426,David Fulton,Petite Sirah,US,California,45.0,89
427,Camigliano,Sangiovese,Italy,Tuscany,25.0,87
428,Babcock,Chardonnay,US,California,45.0,93
429,Lenné Estate,Pinot Noir,US,Oregon,30.0,89
430,Locati Cellars,Red Blend,US,Washington,25.0,84
431,Lapostolle,Merlot,Chile,Rapel Valley,13.0,88
432,Hazyblur,Pinot Gris,Australia,South Australia,23.0,89
433,Sanford,Chardonnay,US,California,45.0,89
434,Mendoza Vineyards,Malbec,Argentina,Mendoza Province,60.0,90
435,Peltier,Pinot Grigio,US,California,10.0,84
436,Finca Flichman,Cabernet Sauvignon,Argentina,Mendoza Province,11.0,83
437,Château Favray,Sauvignon Blanc,France,Loire Valley,19.0,90
438,Wakefield,Cabernet Sauvignon,Australia,South Australia,30.0,89
439,Dr. Loosen,Riesling,Germany,Mosel,64.0,92
440,Seigneurs de Bergerac,Bordeaux-style Red Blend,France,Southwest France,9.0,85
441,Sorelle Winery,Pinot Grigio,US,California,16.0,86
442,Domaine Pfister,Riesling,France,Alsace,45.0,94
443,Herzog,Red Blend,US,California,36.0,87
444,Cantine di Dolianova,Monica,Italy,Sicily & Sardinia,14.0,85
445,Meyer Family Vineyards,Pinot Noir,Canada,British Columbia,40.0,89
446,Stoller,Pinot Noir,US,Oregon,40.0,89
